<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20100603,0,57.31,58,56.51,56.6,29859478,0.513695035,,,,,,,
SBERP,D,20100604,0,57,57.7,54.32,54.76,34604252,0.496995408,,,,,,,
SBERP,D,20100607,0,53,55.76,52.5,55.26,30522561,0.50153335,,,,,,,
SBERP,D,20100608,0,55.52,55.97,54,54.58,31161818,0.495361749,,,,,,,
SBERP,D,20100609,0,55.35,55.77,54.34,55.43,27991166,0.50307625,,,,,,,
SBERP,D,20100610,0,55.43,56.55,54.51,56.35,28307463,0.511426064,,,,,,,
SBERP,D,20100611,0,56.84,56.89,54.91,55.28,24706490,0.501714868,,,,,,,
SBERP,D,20100615,0,55.56,56.93,55.36,56.86,30433749,0.516054765,,,,,,,
SBERP,D,20100616,0,57.21,57.74,55.93,56.15,40650423,0.509610887,,,,,,,
SBERP,D,20100617,0,56.14,57.9,55.65,56.96,48479760,0.516962353,,,,,,,
SBERP,D,20100618,0,57.22,57.8,56.35,57.64,27576156,0.523133954,,,,,,,
SBERP,D,20100621,0,58.6,60.96,58.58,60.53,53700252,0.549363259,,,,,,,
SBERP,D,20100622,0,59.68,60.66,58.8,59.77,42644283,0.542465587,,,,,,,
SBERP,D,20100623,0,59,60.6,58.6,59.35,44067421,0.538653716,,,,,,,
SBERP,D,20100624,0,59.98,60.22,58.52,58.85,32031938,0.534115774,,,,,,,
SBERP,D,20100625,0,58.65,58.84,56.76,57.19,40129704,0.519049806,,,,,,,
SBERP,D,20100628,0,57.94,58.78,57.34,58.22,23203638,0.528397967,,,,,,,
SBERP,D,20100629,0,57.43,57.55,55.48,55.9,28922589,0.507341916,,,,,,,
SBERP,D,20100630,0,55.71,56.74,54.8,55.7,38488517,0.505526739,,,,,,,
SBERP,D,20100701,0,54.5,54.79,51.63,51.8,32219198,0.470130792,,,,,,,
SBERP,D,20100702,0,52.9,53.89,51.78,53.37,39455384,0.484379929,,,,,,,
SBERP,D,20100705,0,53.4,54,53.13,53.8,14357684,0.48828256,,,,,,,
